,player,innings,runs,ball_played,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,position,balls_thrown,runs_conceded,extras,wides,noballs,byes,legbyes,penalty_runs,total_runs,wickets,overs,economy_rate,strike_rate
0,B Laughlin,4.0,5.0,13.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,38.46153846153847,1.25,6.5,13.0,9.0,668.0,271.0,13.0,10.0,1.0,0.0,2.0,0.0,284.0,10.0,111.0,2.5585585585585586,66.8
1,MV Boucher,23.0,394.0,318.0,15.0,116.0,127.0,29.0,1.0,32.0,13.0,123.89937106918238,17.130434782608695,21.2,7.066666666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CJ Jordan,12.0,81.0,81.0,9.0,38.0,23.0,14.0,0.0,3.0,3.0,100.0,6.75,9.0,13.5,8.0,2653.0,1033.0,78.0,43.0,5.0,0.0,30.0,0.0,1111.0,36.0,439.0,2.530751708428246,73.69444444444444
3,N Wadhera,10.0,241.0,171.0,9.0,67.0,61.0,8.0,0.0,23.0,12.0,140.93567251461988,24.1,19.0,4.885714285714286,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MJ Santner,8.0,56.0,59.0,3.0,31.0,18.0,4.0,0.0,3.0,3.0,94.91525423728814,7.0,19.666666666666668,9.833333333333334,8.0,1120.0,347.0,17.0,10.0,1.0,4.0,2.0,0.0,364.0,13.0,186.0,1.956989247311828,86.15384615384616
5,SK Warne,27.0,198.0,219.0,19.0,105.0,82.0,12.0,0.0,14.0,6.0,90.41095890410958,7.333333333333333,11.526315789473685,10.95,9.0,4383.0,1408.0,57.0,39.0,0.0,4.0,14.0,0.0,1465.0,60.0,730.0,2.006849315068493,73.05
6,Tejas Baroka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,11.0,3.0,inf
7,AD Mascarenhas,11.0,79.0,79.0,10.0,29.0,35.0,9.0,0.0,5.0,1.0,100.0,7.181818181818182,7.9,13.166666666666666,6.0,1098.0,353.0,12.0,3.0,0.0,5.0,4.0,0.0,365.0,19.0,182.0,2.0054945054945055,57.78947368421053
8,RJW Topley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,7.0,2.0,42.0
9,Gagandeep Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,141.0,1.0,0.0,0.0,0.0,1.0,0.0,142.0,3.0,49.0,2.8979591836734695,98.0
10,AC Voges,7.0,181.0,143.0,6.0,44.0,61.0,18.0,2.0,15.0,3.0,126.57342657342659,25.857142857142858,23.833333333333332,7.944444444444445,6.0,203.0,74.0,2.0,2.0,0.0,0.0,0.0,0.0,76.0,1.0,33.0,2.303030303030303,203.0
11,SE Marsh,69.0,2489.0,1913.0,65.0,736.0,724.0,99.0,6.0,269.0,78.0,130.10977522216413,36.072463768115945,29.43076923076923,5.512968299711815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,DM Bravo,1.0,6.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,120.0,6.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NM Coulter-Nile,16.0,82.0,75.0,10.0,39.0,20.0,5.0,0.0,7.0,4.0,109.33333333333333,5.125,7.5,6.818181818181818,9.0,3237.0,1063.0,62.0,28.0,9.0,3.0,22.0,0.0,1125.0,52.0,538.0,2.091078066914498,62.25
14,RE Levi,6.0,83.0,74.0,6.0,41.0,19.0,0.0,0.0,10.0,4.0,112.16216216216218,13.833333333333334,12.333333333333334,5.285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AB Barath,3.0,42.0,43.0,2.0,22.0,14.0,1.0,0.0,5.0,1.0,97.67441860465115,14.0,21.5,7.166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,EJG Morgan,74.0,1406.0,1181.0,61.0,512.0,416.0,73.0,4.0,112.0,64.0,119.05165114309906,19.0,19.360655737704917,6.7102272727272725,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PA Reddy,10.0,164.0,167.0,10.0,72.0,65.0,12.0,1.0,15.0,2.0,98.20359281437125,16.4,16.7,9.823529411764707,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,PJ Sangwan,14.0,26.0,47.0,8.0,27.0,16.0,3.0,0.0,1.0,0.0,55.319148936170215,1.8571428571428572,5.875,47.0,8.0,3338.0,1182.0,85.0,52.0,6.0,7.0,20.0,0.0,1267.0,44.0,554.0,2.2870036101083033,75.86363636363636
19,RW Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,10.0,3.3,inf
20,M Ntini,2.0,11.0,19.0,1.0,15.0,1.0,1.0,0.0,2.0,0.0,57.89473684210527,5.5,19.0,9.5,11.0,756.0,238.0,19.0,2.0,2.0,2.0,13.0,0.0,257.0,8.0,126.0,2.0396825396825395,94.5
21,J Syed Mohammad,5.0,29.0,27.0,2.0,11.0,11.0,1.0,0.0,4.0,0.0,107.40740740740742,5.8,13.5,6.75,9.0,700.0,279.0,7.0,4.0,0.0,0.0,3.0,0.0,286.0,10.0,116.0,2.4655172413793105,70.0
22,SM Boland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,53.0,3.0,1.0,0.0,0.0,2.0,0.0,56.0,3.0,25.0,2.24,51.333333333333336
23,Shoaib Malik,5.0,52.0,49.0,4.0,16.0,24.0,4.0,0.0,5.0,0.0,106.12244897959184,10.4,12.25,9.8,4.0,225.0,77.0,10.0,7.0,1.0,1.0,1.0,0.0,87.0,2.0,37.0,2.3513513513513513,112.5
24,S Kaushik,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,756.0,291.0,13.0,5.0,1.0,4.0,3.0,0.0,304.0,6.0,126.0,2.4126984126984126,126.0
